NomDep;NomLoc;zip2010;zip2022
SAN JERONIMO;CASALEGNO;casalegnoa3v;CASALEGNO
SAN MARTIN;CASAS;casasa3h;CASAS
CASEROS;CASILDA;casildaa0h;CASILDA
SAN MARTIN;CASTELAR;Castelara3h;CASTELAR
CASTELLANOS;CASTELLANOS;castellanosa3h;CASTELLANOS
LAS COLONIAS;CAVOUR;Cavoura3h;CAVOUR
GARAY;CAYASTA;Cayastaa2v;CAYASTA
SAN JUSTO;CAYASTACITO;cayastacitoa3v;CAYASTACITO
SAN JERONIMO;CENTENO;centenoA3V;CENTENO
CONSTITUCION;CEPEDA;cepedaa3h;CEPEDA
SAN CRISTOBAL;CERES;ceresa1h;CERES
CASEROS;CHABAS;chabasa3v;CHABAS
CASEROS;CHAÑAR LADEADO;ChanarLadeadoa3v;CHANARLADEADO
GENERAL LOPEZ;CHAPUY;chapuya3h;CHAPUY
GENERAL LOPEZ;CHOVET;choveta3h;CHOVET
GENERAL LOPEZ;CHRISTOPHERSEN;christophersena3v;CHRISTOPHERSEN
IRIONDO;CLASSON;classona3h;CLASON
VERA;COLMENA;colmenaa3h;COLMENA
SAN LORENZO;COLONIA ALDAO;coloniaaldaoa2h;COLONIAALDAO
SAN CRISTOBAL;COLONIA ANA;coloniaanaa3h;COLONIAANA
SAN MARTIN;COLONIA BELGRANO;coloniabelgranoa3v;COLONIABELGRANO
CASTELLANOS;COLONIA BICHA;coloniabichaa3v;COLONIABICHA
SAN CRISTOBAL;COLONIA BOSSI;coloniabossia3h;COLONIABOSSI
CASTELLANOS;COLONIA CELLO;coloniacelloa3h;COLONIACELLO
SAN JUSTO;COLONIA DOLORES;coloniadoloresa3h;COLONIADOLORES
SAN JAVIER;COLONIA DURAN;Coloniadurana3v;COLONIADURAN
CASTELLANOS;COLONIA MARGARITA;coloniamargaritaa3h;COLONIAMARGARITA
GARAY;COLONIA MASCIAS;COLONIAMASCIAS;COLONIAMASCIAS
IRIONDO;COLONIA MEDICI;coloniamedicia3v;COLONIAMEDICI
LAS COLONIAS;COLONIA NUEVA;;COLONIANUEVA
CASTELLANOS;COLONIA RAQUEL;coloniaraquela3v;COLONIARAQUEL
SAN CRISTOBAL;COLONIA ROSA;coloniarosaa3h;COLONIAROSA
GARAY;COLONIA SAN JOAQUIN;COLONIASANJOAQUIN;COLONIASANJOAQUIN
LAS COLONIAS;COLONIA SAN JOSE (LAS COLONIAS);;COLONIASANJOSELASCOLONIAS
SAN JAVIER;COLONIA SAN JOSE (SAN JAVIER);COLONIASANJOSESANJAVIER;COLONIASANJOSESANJAVIER
CASTELLANOS;COLONIA TACURALES;;COLONIATACURALES
SAN JAVIER;COLONIA TERESA;COLONIATERESA;COLONIATERESA
SAN CRISTOBAL;CONSTANZA;constanzaa3v;CONSTANZA
SAN JERONIMO;CORONDA;corondaa1v;CORONDA
SAN LORENZO;CORONEL ARNOLD;cnelarnolda3h;CORONELARNOLD
ROSARIO;CORONEL BOGADO;coronelbogadoa3v;CORONELBOGADO
ROSARIO;CORONEL DOMINGUEZ;coroneldomingueza3h;CORONELDOMINGUEZ
CASTELLANOS;CORONEL FRAGA;coronelfragaa3h;CORONELFRAGA
IRIONDO;CORREA;correaa2v;CORREA
SAN MARTIN;CRISPI;Crispia3h;CRISPI
ROSARIO;CUATRO ESQUINAS;cuatroesquinasa3v;CUATROESQUINAS
LAS COLONIAS;CULULU;Cululua3h;CULULU
SAN CRISTOBAL;CURUPAITY;curupaitya3h;CURUPAITY
SAN JERONIMO;DESVIO ARIJON;DESVIOARIJON;DESVIOARIJON
SAN JERONIMO;DIAZ;DiazA3V1;DIAZ
GENERAL LOPEZ;DIEGO DE ALVEAR;diegodealveara3h;DIEGODEALVEAR
CASTELLANOS;EGUSQUIZA;egusquizaa3v;EGUSQUIZA
GENERAL OBLIGADO;EL ARAZA;elarazaa3h;ELARAZA
ROSARIO;EL CARAMELO;elcarameloyvilladelplataa2v;ELCARAMELOYVILLADELPLATA
GENERAL OBLIGADO;EL CARMEN DE AVELLANEDA;ELCARMENDEAVELLANEDA;ELCARMENDEAVELLANEDA
GENERAL OBLIGADO;EL RABON;ELRABONA3H;ELRABON
GENERAL OBLIGADO;EL SOMBRERITO;elsombreritoa3h;ELSOMBRERITO
SAN MARTIN;EL TREBOL;eltrebola1v;ELTREBOL
LAS COLONIAS;ELISA;Elisaa3v;ELISA
GENERAL LOPEZ;ELORTONDO;elortondoa3h;ELORTONDO
LA CAPITAL;EMILIA;emiliaa3v;EMILIA
LAS COLONIAS;EMPALME SAN CARLOS;empalmesancarlosa3h;EMPALMESANCARLOS
CONSTITUCION;EMPALME VILLA CONSTITUCION;empalmevillaconstituciona2v;EMPALMEVILLACONSTITUCION
CASTELLANOS;ESMERALDA;esmeraldaa3h;ESMERALDA
LAS COLONIAS;ESPERANZA;esperanzaa0h;ESPERANZA
CASTELLANOS;ESTACION CLUCELLAS;estacionclucellasa3h;ESTACIONCLUCELLAS
LA CAPITAL;ESTACION CONSTITUYENTES (VILLA LAURA);constituyentesa3v;VILLALAURA
GENERAL OBLIGADO;ESTACION KM 403;ESTACIONKILOMETRO403;ESTACIONKILOMETRO403
CASTELLANOS;ESTACION KM 501;ESTACIONKILOMETRO501;ESTACIONKILOMETRO501
CASTELLANOS;ESTACION SAGUIER;estacionsaguiera3h;ESTACIONSAGUIER
9 DE JULIO;ESTEBAN RAMS;estebanramsa3h;ESTEBANRAMS
SAN JUSTO;ESTHER;esthera3h;ESTHER
